RMS,RMV,STD
15.49382794562,11.1919989917666,14.156963439487
14.1149750535274,11.0299619067619,14.1966252765841
23.4410353877435,17.2378901462831,23.1472965437455
25.155434734588,17.3406275411831,23.1391570613442
32.4253712440832,23.1694001523736,27.2075974843687
17.8981583722358,12.9111305463695,16.5758869389528
23.9814422071295,15.4940054663979,21.4549934344439
19.174546808773,11.4671738114672,18.7070378226743
28.4674847058259,20.9188065620278,21.1391287590387
23.1749265461228,17.8272832162508,23.2344721080437
16.1094203249514,11.8602587106976,15.126587286612
32.8490064841853,26.2298421553992,20.5586629461713
29.8603993913349,21.1332507058615,26.3987064074255
29.1340720631821,21.1806635799201,24.7685621950221
27.9061537284087,18.909550757616,23.2830427193935
29.9172738150406,21.0684698296241,30.0139873603768
20.3405930389144,14.3689256780061,20.4451605134645
27.663839277099,19.3481588867728,27.2507047619509
19.3213228066008,13.1005857005915,18.8300845373434
20.7572976277524,16.4120152311671,15.4761150407015
16.8689886954793,12.4375521761049,16.8509172449233
27.7679987865694,18.6580955281206,27.8102081886014
18.022828547246,11.9991771683506,16.0182822458162
21.4768734314083,16.9463400873085,21.5427068444896
28.8427643599543,18.9582062618937,24.4821362621835
31.8092287445127,21.8710906863648,29.4039851245016
26.7532963627013,18.1916216831945,19.941551253598
25.4409412854515,16.451150618132,25.5754094676441
34.8184110598108,23.3096166694643,32.4765169340195
16.1296522561697,10.8138316076073,16.2128577572498
29.3009355182694,19.4249464757143,28.5114989403532
27.2935117494888,16.6766026386143,26.2622323752417
19.8464387883062,14.9277020735364,19.9235562120947
11.3871141060117,8.71748095028504,10.5549080953464
21.1443418795665,16.392791172088,18.6132672580111
23.0263612176581,16.1574412332672,19.680639384511
35.5984637196783,24.9830198929145,35.7270751769591
30.4094701377438,20.8400045400244,23.754067772121
22.5116590598229,15.972183703427,21.6133109759589
28.4313967795028,19.9474685821986,24.8762676681597
21.2678747842529,15.6507863395775,20.2983312586929
18.9299561584793,12.8062251548489,17.0853067783159
37.5247883468458,27.7795675130124,36.0217002081273
27.9792404012913,21.0033616992336,27.9234549470896
31.343603679381,24.2289015019964,23.9242567510657
38.9203646188706,26.5196289226828,38.0336075369589
40.8002182086441,27.8114945262753,37.4576143160932
24.6893511981818,17.9555323546074,24.6739445611552
34.4634777445715,20.8818499573659,30.152487640705
28.3056898997184,19.1602296227372,22.6832390376508
24.9461557058283,17.0975864851539,21.6403065070504
33.5667599088856,23.5338103817521,26.2186635626915
25.8294544007991,17.8731950979447,24.506255100342
27.0179634890114,16.8469449731851,23.2879835971876
24.7928018687442,16.3967280674282,22.4514139823088
30.8725377449524,21.6098921002456,30.3314873286753
36.6943652974675,25.0498037315994,34.7299693980116
23.3735627102696,16.249906703443,21.78171461707
64.1985033388501,47.5864297264498,44.4480330027099
31.9452826675901,23.8660224299483,25.2179187458421
47.6974420108748,36.9493741250063,31.2047988131011
51.9264027350499,42.0020289386149,30.714422226353
30.4320925695986,24.1289083451647,25.611169914326
45.0693343411484,34.5422467595737,29.4862136120875
33.6182540903394,22.4110581563061,31.0358693058321
53.1996136539241,39.0924335379014,37.3351029093429
44.0252305005568,31.8388090817882,32.392922260025
36.3830405622404,25.3123026189624,30.0669551472919
45.3192516690418,33.3406774136065,34.4709306957712
30.9941033904477,24.5160680127217,21.6487417297089
37.4745434586928,27.5246025103607,25.6486603795237
35.3470077466515,26.3429790470132,24.0828831671051
45.0990514540112,31.8536557484472,33.2393057651066
44.0472395160906,34.1665065489327,31.613292272408
36.6639655513775,26.0842078312388,30.6714390461865
34.4838656864128,26.6315545355664,22.5341697793858
30.5732704179505,22.8039599924278,24.520022973645
49.2695975816853,35.8915563525313,37.1225111243726
51.574180482012,37.8804262063644,38.2914077543015
25.3744426163658,20.0746765495088,19.6588423565473
45.8306692955846,35.5100283822076,29.7290620310462
57.9526412968647,36.5629446813529,52.7750180163617
45.9891228910454,33.7926320777233,31.4075528552268
45.3611787941826,30.3457443108268,36.8730460366241
44.1668229271747,30.6036162079949,33.2400260548679
53.5902788265799,38.2333281518045,39.3598237774382
29.7871463756574,21.9430638273331,22.9737815341452
26.3055303098745,17.857237062894,24.1194506387201
41.0080621695805,32.6125817126742,31.0283490970167
52.1083990472516,40.7264433636391,35.7550114323253
31.5401086838843,18.6527843539153,28.0757980562373
31.9004691560412,23.5323994757902,23.0219865684747
52.9516950154933,39.2856576431985,36.2891144885371
34.1048638762277,23.2215597613321,29.5895512906183
46.2742509746886,30.030410601785,39.3272534354596
50.9437057453387,38.5110808210319,40.4423908017383
42.7072246408355,36.0971003160439,22.9556841825302
49.9893906435404,37.7345522473559,33.1330423530947
24.3289896019137,16.7146548522698,18.3031733471415
44.6728655400583,32.3215531832199,32.4746420523812
42.0515494607048,29.8043454422814,31.3648605940802
72.0234892878807,47.9511959159286,54.2046885980604
38.3946359828184,28.1552152787628,27.0837375849644
55.6241760660587,40.7920829035708,38.6124381903047
40.4920936586414,28.4578174393006,37.495656469737
43.1231692291194,30.0386745510432,32.8745279570493
42.0046925626222,29.8796815347812,37.6857967796105
40.9554168720789,30.1147486559845,28.7026777119206
35.3391549799481,26.0755316890355,28.706434638695
69.2842941764151,46.372459903528,51.9689933974354
44.5763502046638,30.8303233386306,36.6970397382926
41.3599379696829,30.2777782753346,31.9449483843424
40.5358429107387,26.4306646526859,33.6719864019731
30.8400535511298,21.8169668138539,26.7852447947195
38.6284870542358,26.097171615953,30.5339768599108
36.209702921416,27.0849839167541,25.310073520067
23.0114313575169,15.4916489689711,22.5498164565758
26.2743605094047,17.0258305160269,24.4967037751954
38.1275015377999,26.5775189553212,35.7254274980924
18.8260406015594,13.5361550050713,18.5041714550156
35.1092565332483,23.2331358097481,31.864592556912
47.792339314676,31.0874868775851,38.3514838834226
22.2850006432072,17.418838497712,22.2972560276212
22.5269820852285,15.9948625233536,22.6569457506152
27.7841334677291,21.2020084077041,27.9440312468266
34.4858156827038,25.0791837817419,32.2429699427323
19.3144512842149,14.6517913869013,18.884889570907
26.4857110957166,18.5399492298749,26.5589631976092
30.3610775340553,21.1875362589744,28.235219088647
35.2154234931416,26.0425261018625,24.8416934130561
24.4696608148224,18.6194471438704,23.0736682580186
14.5744993868318,10.4336266366548,14.456296488177
22.581154940826,16.8266563235756,19.8771038949465
32.8605592313731,22.5920057014074,26.0106679699868
20.3377433664405,14.7064093496185,17.3114137692964
29.6477390887074,19.9085690645059,23.7374898340679
35.4876387197254,22.5773968772107,29.8728122391822
17.9833369807843,13.2795737297192,17.8718357961929
40.2235991412874,26.844589553063,33.8876797375964
61.8126320963013,45.7100357284793,46.6602208380103
25.9713819073185,20.0530306817079,20.6926712176436
24.4071928674771,17.6748775933885,23.4952068190008
31.1565438484509,23.2778121302415,30.6644187545368
48.4399410805563,36.0051670300772,33.1205010040819
23.2712131291541,16.1836241655803,19.730447884649
33.521312900782,21.5479305044685,29.6165830362523
20.2475558871351,15.3423555628222,19.9863286251119
25.584246667641,18.2920324425798,25.691074714
18.8257299429528,13.1784603366591,16.6871729318618
30.4684003313425,22.2001854979362,25.3637875934448
15.4298403084362,11.4008596597361,14.8604055739505
16.7499282750381,12.1516724324382,15.2131651990663
22.4014158404391,15.2890509178062,22.529408198376
18.7315050618315,13.7960903978141,18.8205936562097
19.4002367263263,14.2677430040905,19.3871484503969
32.3283042713853,24.3075582851107,28.2046742448579
19.3401524276184,14.2516152444532,19.2316043634485
33.5423259310407,25.562202969129,23.0457953400702
31.6782219504072,22.5283529872959,23.671015388679
27.4562456722397,19.1380941187342,25.6683294068694
40.5439949236448,31.3799465702955,38.9475783329939
26.3312080518995,20.4196690972167,24.6177063406652
37.3514441062567,26.1241664606183,36.6911112850694
31.0377000045838,22.5216685072267,30.2536729086885
26.1497144139586,18.4147992089225,24.3238772964852
29.3246464903896,20.8731694414599,26.6282267041138
19.2404785804709,14.3476280347156,17.8307537635813
54.6734404213864,35.7294965537549,49.0443593076618
27.944258358199,21.1479789780625,26.8801070685131
